Episode: 346, Score: 60, Last 100 mean: 104.81999969482422
Episode: 347, Score: 63, Last 100 mean: 103.62000274658203
Episode: 348, Score: 108, Last 100 mean: 104.05999755859375
Episode: 349, Score: 68, Last 100 mean: 103.19999694824219
Episode: 350, Score: 53, Last 100 mean: 102.94000244140625
Episode: 351, Score: 148, Last 100 mean: 103.98999786376953
Episode: 352, Score: 62, Last 100 mean: 103.76000213623047
Episode: 353, Score: 41, Last 100 mean: 103.02999877929688
Episode: 354, Score: 59, Last 100 mean: 102.91000366210938
Episode: 355, Score: 335, Last 100 mean: 105.68000030517578
Episode: 356, Score: 128, Last 100 mean: 105.31999969482422
Episode: 357, Score: 56, Last 100 mean: 102.95999908447266
Episode: 358, Score: 82, Last 100 mean: 102.08999633789062
Episode: 359, Score: 197, Last 100 mean: 100.58999633789062
Episode: 360, Score: 54, Last 100 mean: 99.20999908447266
Episode: 361, Score: 55, Last 100 mean: 99.1500015258789
Episode: 362, Score: 52, Last 100 mean: 99.23999786376953
Episode: 363, Score: 62, Last 100 mean: 99.12000274658203
Episode: 364, Score: 62, Last 100 mean: 99.19000244140625
Episode: 365, Score: 109, Last 100 mean: 98.76000213623047
Episode: 366, Score: 50, Last 100 mean: 98.23999786376953
Episode: 367, Score: 93, Last 100 mean: 97.0
Episode: 368, Score: 48, Last 100 mean: 97.05999755859375
Episode: 369, Score: 65, Last 100 mean: 96.38999938964844
Episode: 370, Score: 40, Last 100 mean: 96.04000091552734
Episode: 371, Score: 52, Last 100 mean: 95.44999694824219
Episode: 372, Score: 306, Last 100 mean: 97.75
Episode: 373, Score: 170, Last 100 mean: 98.86000061035156
Episode: 374, Score: 49, Last 100 mean: 98.80000305175781
Episode: 375, Score: 58, Last 100 mean: 97.87000274658203
Episode: 376, Score: 44, Last 100 mean: 97.83999633789062
Episode: 377, Score: 44, Last 100 mean: 97.56999969482422
Episode: 378, Score: 322, Last 100 mean: 100.3499984741211
Episode: 379, Score: 75, Last 100 mean: 100.37000274658203
Episode: 380, Score: 81, Last 100 mean: 100.63999938964844
Episode: 381, Score: 66, Last 100 mean: 100.58000183105469
Episode: 382, Score: 101, Last 100 mean: 101.19000244140625
Episode: 383, Score: 166, Last 100 mean: 102.0199966430664
Episode: 384, Score: 56, Last 100 mean: 101.93000030517578
Episode: 385, Score: 56, Last 100 mean: 99.68000030517578
Episode: 386, Score: 92, Last 100 mean: 99.63999938964844
Episode: 387, Score: 55, Last 100 mean: 99.2699966430664
Episode: 388, Score: 49, Last 100 mean: 96.56999969482422
Episode: 389, Score: 54, Last 100 mean: 96.12999725341797
Episode: 390, Score: 312, Last 100 mean: 96.43000030517578
Episode: 391, Score: 41, Last 100 mean: 94.7699966430664
Episode: 392, Score: 46, Last 100 mean: 94.63999938964844
Episode: 393, Score: 86, Last 100 mean: 92.76000213623047
Episode: 394, Score: 64, Last 100 mean: 92.80000305175781
Episode: 395, Score: 182, Last 100 mean: 93.9000015258789
Episode: 396, Score: 52, Last 100 mean: 93.73999786376953
Episode: 397, Score: 55, Last 100 mean: 91.5199966430664
Episode: 398, Score: 94, Last 100 mean: 91.12999725341797
Episode: 399, Score: 63, Last 100 mean: 91.0199966430664
Episode: 400, Score: 263, Last 100 mean: 92.5199966430664
Episode: 401, Score: 50, Last 100 mean: 92.43000030517578
Episode: 402, Score: 44, Last 100 mean: 92.23999786376953
Episode: 403, Score: 211, Last 100 mean: 93.36000061035156
Episode: 404, Score: 94, Last 100 mean: 93.75
Episode: 405, Score: 159, Last 100 mean: 94.45999908447266
Episode: 406, Score: 74, Last 100 mean: 94.0999984741211
Episode: 407, Score: 45, Last 100 mean: 93.81999969482422
Episode: 408, Score: 51, Last 100 mean: 93.80000305175781
Episode: 409, Score: 50, Last 100 mean: 93.47000122070312
Episode: 410, Score: 45, Last 100 mean: 93.44000244140625
Episode: 411, Score: 125, Last 100 mean: 94.2300033569336
Episode: 412, Score: 53, Last 100 mean: 94.22000122070312
Episode: 413, Score: 150, Last 100 mean: 95.05999755859375
Episode: 414, Score: 45, Last 100 mean: 95.02999877929688
Episode: 415, Score: 83, Last 100 mean: 95.22000122070312
Episode: 416, Score: 58, Last 100 mean: 95.06999969482422
Episode: 417, Score: 79, Last 100 mean: 93.7300033569336
Episode: 418, Score: 69, Last 100 mean: 92.06999969482422
Episode: 419, Score: 131, Last 100 mean: 92.44000244140625
Episode: 420, Score: 85, Last 100 mean: 92.70999908447266
Episode: 421, Score: 52, Last 100 mean: 92.26000213623047
Episode: 422, Score: 44, Last 100 mean: 92.29000091552734
Episode: 423, Score: 52, Last 100 mean: 92.11000061035156
Episode: 424, Score: 49, Last 100 mean: 91.23999786376953
Episode: 425, Score: 86, Last 100 mean: 90.9800033569336
Episode: 426, Score: 49, Last 100 mean: 90.77999877929688
Episode: 427, Score: 55, Last 100 mean: 90.80999755859375
Episode: 428, Score: 240, Last 100 mean: 92.69999694824219
Episode: 429, Score: 99, Last 100 mean: 93.04000091552734
Episode: 430, Score: 40, Last 100 mean: 92.81999969482422
Episode: 431, Score: 118, Last 100 mean: 93.08999633789062
Episode: 432, Score: 50, Last 100 mean: 92.95999908447266
Episode: 433, Score: 137, Last 100 mean: 92.30999755859375
Episode: 434, Score: 50, Last 100 mean: 91.94000244140625
Episode: 435, Score: 166, Last 100 mean: 93.01000213623047
Episode: 436, Score: 142, Last 100 mean: 93.54000091552734
Episode: 437, Score: 136, Last 100 mean: 94.13999938964844
Episode: 438, Score: 50, Last 100 mean: 94.16999816894531
Episode: 439, Score: 105, Last 100 mean: 93.23999786376953
Episode: 440, Score: 172, Last 100 mean: 92.93000030517578
Episode: 441, Score: 71, Last 100 mean: 93.18000030517578
Episode: 442, Score: 116, Last 100 mean: 93.80000305175781
Episode: 443, Score: 310, Last 100 mean: 96.3499984741211
Episode: 444, Score: 119, Last 100 mean: 95.58000183105469
Episode: 445, Score: 60, Last 100 mean: 95.7300033569336
Episode: 446, Score: 55, Last 100 mean: 95.68000030517578
Episode: 447, Score: 161, Last 100 mean: 96.66000366210938
Episode: 448, Score: 138, Last 100 mean: 96.95999908447266
Episode: 449, Score: 41, Last 100 mean: 96.69000244140625
Episode: 450, Score: 52, Last 100 mean: 96.68000030517578
Episode: 451, Score: 44, Last 100 mean: 95.63999938964844
Episode: 452, Score: 70, Last 100 mean: 95.72000122070312
Episode: 453, Score: 78, Last 100 mean: 96.08999633789062
Episode: 454, Score: 132, Last 100 mean: 96.81999969482422
Episode: 455, Score: 65, Last 100 mean: 94.12000274658203
Episode: 456, Score: 89, Last 100 mean: 93.7300033569336
Episode: 457, Score: 147, Last 100 mean: 94.63999938964844
Episode: 458, Score: 41, Last 100 mean: 94.2300033569336
Episode: 459, Score: 48, Last 100 mean: 92.73999786376953
Episode: 460, Score: 452, Last 100 mean: 96.72000122070312
Episode: 461, Score: 267, Last 100 mean: 98.83999633789062
Episode: 462, Score: 103, Last 100 mean: 99.3499984741211
Episode: 463, Score: 49, Last 100 mean: 99.22000122070312
Episode: 464, Score: 73, Last 100 mean: 99.33000183105469
Episode: 465, Score: 108, Last 100 mean: 99.31999969482422
Episode: 466, Score: 49, Last 100 mean: 99.30999755859375
Episode: 467, Score: 218, Last 100 mean: 100.55999755859375
Episode: 468, Score: 205, Last 100 mean: 102.12999725341797
Episode: 469, Score: 44, Last 100 mean: 101.91999816894531
Episode: 470, Score: 49, Last 100 mean: 102.01000213623047
Episode: 471, Score: 77, Last 100 mean: 102.26000213623047
Episode: 472, Score: 71, Last 100 mean: 99.91000366210938
Episode: 473, Score: 165, Last 100 mean: 99.86000061035156
Episode: 474, Score: 53, Last 100 mean: 99.9000015258789
Episode: 475, Score: 67, Last 100 mean: 99.98999786376953
Episode: 476, Score: 57, Last 100 mean: 100.12000274658203
Episode: 477, Score: 100, Last 100 mean: 100.68000030517578
Episode: 478, Score: 101, Last 100 mean: 98.47000122070312
Episode: 479, Score: 52, Last 100 mean: 98.23999786376953
Episode: 480, Score: 193, Last 100 mean: 99.36000061035156
Episode: 481, Score: 129, Last 100 mean: 99.98999786376953
Episode: 482, Score: 47, Last 100 mean: 99.44999694824219
Episode: 483, Score: 129, Last 100 mean: 99.08000183105469
Episode: 484, Score: 143, Last 100 mean: 99.94999694824219
Episode: 485, Score: 150, Last 100 mean: 100.88999938964844
Episode: 486, Score: 58, Last 100 mean: 100.55000305175781
Episode: 487, Score: 46, Last 100 mean: 100.45999908447266
Episode: 488, Score: 53, Last 100 mean: 100.5
Episode: 489, Score: 67, Last 100 mean: 100.62999725341797
Episode: 490, Score: 60, Last 100 mean: 98.11000061035156
Episode: 491, Score: 45, Last 100 mean: 98.1500015258789
Episode: 492, Score: 173, Last 100 mean: 99.41999816894531
Episode: 493, Score: 272, Last 100 mean: 101.27999877929688
Episode: 494, Score: 76, Last 100 mean: 101.4000015258789
Episode: 495, Score: 54, Last 100 mean: 100.12000274658203
Episode: 496, Score: 87, Last 100 mean: 100.47000122070312
Episode: 497, Score: 48, Last 100 mean: 100.4000015258789
Episode: 498, Score: 84, Last 100 mean: 100.30000305175781
Episode: 499, Score: 166, Last 100 mean: 101.33000183105469
Episode: 500, Score: 66, Last 100 mean: 99.36000061035156
Episode: 501, Score: 266, Last 100 mean: 101.5199966430664
Episode: 502, Score: 212, Last 100 mean: 103.19999694824219
Episode: 503, Score: 128, Last 100 mean: 102.37000274658203
Episode: 504, Score: 185, Last 100 mean: 103.27999877929688
Episode: 505, Score: 139, Last 100 mean: 103.08000183105469
Episode: 506, Score: 62, Last 100 mean: 102.95999908447266
Episode: 507, Score: 74, Last 100 mean: 103.25
Episode: 508, Score: 56, Last 100 mean: 103.30000305175781
Episode: 509, Score: 143, Last 100 mean: 104.2300033569336
Episode: 510, Score: 49, Last 100 mean: 104.2699966430664
Episode: 511, Score: 51, Last 100 mean: 103.52999877929688
Episode: 512, Score: 158, Last 100 mean: 104.58000183105469
Episode: 513, Score: 37, Last 100 mean: 103.44999694824219
Episode: 514, Score: 68, Last 100 mean: 103.68000030517578
Episode: 515, Score: 207, Last 100 mean: 104.91999816894531
Episode: 516, Score: 205, Last 100 mean: 106.38999938964844
Episode: 517, Score: 77, Last 100 mean: 106.37000274658203
Episode: 518, Score: 35, Last 100 mean: 106.02999877929688
Episode: 519, Score: 54, Last 100 mean: 105.26000213623047
Episode: 520, Score: 61, Last 100 mean: 105.0199966430664
Episode: 521, Score: 36, Last 100 mean: 104.86000061035156
Episode: 522, Score: 49, Last 100 mean: 104.91000366210938
Episode: 523, Score: 45, Last 100 mean: 104.83999633789062
Episode: 524, Score: 169, Last 100 mean: 106.04000091552734
Episode: 525, Score: 40, Last 100 mean: 105.58000183105469
Episode: 526, Score: 61, Last 100 mean: 105.69999694824219
Episode: 527, Score: 133, Last 100 mean: 106.4800033569336
Episode: 528, Score: 54, Last 100 mean: 104.62000274658203
Episode: 529, Score: 59, Last 100 mean: 104.22000122070312
